time,obs_zz,obs_xx,fidelity_phi_plus
0.6100000000000003,1.0,0.9925280548191385,0.996264027409569
0.9100000000000006,1.0,0.9851119396030625,0.992555969801531
1.5300000000000011,1.0,0.9846195067517333,0.9923097533758665
1.8300000000000014,1.0,0.9846195067517333,0.9923097533758665
2.159999999999998,1.0,0.9985011244377117,0.9992505622188557
2.1699999999999977,1.0,0.991536022862967,0.9957680114314833
2.489999999999991,1.0,0.9987507809245818,0.9993753904622906
2.809999999999984,1.0,0.9985011244377124,0.999250562218856
3.0799999999999783,1.0,0.9831436846349113,0.9915718423174554
3.1299999999999772,1.0,0.9985011244377134,0.9992505622188567
3.4499999999999704,1.0,0.998501124437714,0.9992505622188568
3.699999999999965,1.0,0.9910403787728863,0.9955201893864429
3.7699999999999636,1.0,0.9985011244377141,0.999250562218857
4.019999999999959,1.0,0.9985011244377135,0.9992505622188567
4.389999999999951,1.0,0.9972537777862394,0.9986268888931195
4.6399999999999455,1.0,0.9848656924003495,0.9924328462001746
4.709999999999944,1.0,0.9985011244377151,0.9992505622188572
4.959999999999939,1.0,0.9985011244377161,0.9992505622188579
5.029999999999937,1.0,0.9985011244377157,0.9992505622188576
5.5799999999999255,1.0,0.9927762178519355,0.9963881089259675
5.649999999999924,1.0,0.9819155227901919,0.9909577613950956
6.199999999999912,1.0,0.9927762178519365,0.9963881089259681
6.519999999999905,1.0,0.9985011244377179,0.9992505622188589
6.839999999999899,1.0,0.9985011244377189,0.9992505622188591
6.869999999999898,1.0,0.9672967051822031,0.9836483525911014
7.159999999999892,1.0,0.9985011244377194,0.9992505622188594
7.479999999999885,1.0,0.9912881698401775,0.9956440849200886
8.099999999999872,1.0,0.991040378772892,0.9955201893864458
8.419999999999865,1.0,0.9985011244377201,0.9992505622188598
8.739999999999858,1.0,0.9985011244377207,0.9992505622188601
9.359999999999845,1.0,0.9910403787728944,0.995520189386447
9.679999999999838,1.0,0.9985011244377224,0.999250562218861
10.299999999999825,1.0,0.991040378772896,0.9955201893864478
11.219999999999805,1.0,0.9689909564537539,0.9844954782268767
11.539999999999798,1.0,0.9985011244377254,0.9992505622188627
11.859999999999792,1.0,0.6257840096046001,0.8128920048023
12.179999999999785,1.0,0.9990004998333821,0.9995002499166908
12.799999999999772,1.0,0.9910403787728919,0.9955201893864456
13.719999999999752,1.0,0.983635379390682,0.9918176896953409
14.339999999999739,1.0,0.9836353793906828,0.9918176896953413
14.659999999999732,1.0,0.9985011244377222,0.999250562218861
15.879999999999706,1.0,0.9762857097579218,0.9881428548789607
16.199999999999733,1.0,0.9985011244377207,0.9992505622188601
16.81999999999983,1.0,0.9910403787728862,0.9955201893864428
17.13999999999988,1.0,0.9990004998333737,0.9995002499166867
17.45999999999993,1.0,0.9995001249791642,0.999750062489582
17.77999999999998,1.0,0.9997500312473863,0.999875015623693
18.10000000000003,1.0,0.9995001249791545,0.9997500624895771
18.42000000000008,1.0,0.9995001249791501,0.9997500624895749
19.040000000000177,1.0,0.9846195067517048,0.9923097533758523
19.360000000000227,1.0,0.834226775930043,0.9171133879650214
19.96000000000032,1.0,0.9930244429331953,0.9965122214665975
20.28000000000037,1.0,0.9995001249791254,0.9997500624895624
20.60000000000042,1.0,0.9995001249791211,0.9997500624895602
20.92000000000047,1.0,0.9995001249791163,0.9997500624895581
21.24000000000052,1.0,0.9995001249791119,0.9997500624895559
21.56000000000057,1.0,0.9995001249791071,0.9997500624895533
21.88000000000062,1.0,0.9995001249791025,0.9997500624895511
22.500000000000718,1.0,0.9920319148369875,0.9960159574184936
23.42000000000086,1.0,0.9846195067516527,0.9923097533758262
23.74000000000091,1.0,0.9995001249790851,0.9997500624895423
24.06000000000096,1.0,0.9995001249790803,0.9997500624895399
24.68000000000106,1.0,0.9920319148369657,0.9960159574184826
25.00000000000111,1.0,0.9995001249790701,0.9997500624895348
25.32000000000116,1.0,0.9995001249790657,0.9997500624895326
25.940000000001255,1.0,0.9920319148369509,0.9960159574184753
26.260000000001305,1.0,0.999500124979055,0.9997500624895272
26.580000000001355,1.0,0.9995001249790502,0.9997500624895249
27.200000000001452,1.0,0.9920319148369362,0.9960159574184678
28.120000000001596,1.0,0.984373382641741,0.9921866913208703
28.440000000001646,1.0,0.9915360228628995,0.9957680114314496
28.760000000001696,1.0,0.9990004998333031,0.9995002499166513
29.380000000001793,1.0,0.9920319148369828,0.9960159574184912
29.700000000001843,1.0,0.9995001249790875,0.9997500624895436
30.32000000000194,1.0,0.9920319148369726,0.996015957418486
30.940000000002037,1.0,0.9920319148369668,0.9960159574184833
31.260000000002087,1.0,0.753331431458223,0.8766657157291112
31.27000000000209,1.0,0.9387087671601322,0.9693543835800658
31.580000000002137,1.0,0.9992502811795897,0.9996251405897947
31.59000000000214,1.0,0.9985011244376613,0.9992505622188305
31.900000000002187,1.0,0.999750031247351,0.9998750156236752
31.91000000000219,1.0,0.9990004998332507,0.9995002499166252
32.22000000000216,1.0,0.9997500312472832,0.9998750156236414
32.540000000002095,1.0,0.9910403787728836,0.9955201893864416
32.840000000002036,1.0,0.999750031247247,0.9998750156236234
32.86000000000203,1.0,0.9992502811797045,0.999625140589852
33.16000000000197,1.0,0.9995001249790261,0.9997500624895128
33.190000000001966,1.0,0.9982515303571713,0.9991257651785854
34.38000000000173,1.0,0.9772624837732543,0.988631241886627
34.41000000000172,1.0,0.976285709757831,0.9881428548789153
34.73000000000166,1.0,0.9992502811796216,0.9996251405898106
35.000000000001606,1.0,0.9912881698401508,0.9956440849200753
35.32000000000154,1.0,0.992776217851812,0.9963881089259059
35.350000000001536,1.0,0.8271658995715043,0.9135829497857519
36.24000000000136,1.0,0.9851119396030429,0.9925559698015213
36.560000000001295,1.0,0.9992502811796834,0.9996251405898415
37.18000000000117,1.0,0.991783937856757,0.9958919689283784
37.50000000000111,1.0,0.9992502811796958,0.9996251405898477
37.820000000001045,1.0,0.9992502811797019,0.9996251405898507
38.44000000000092,1.0,0.9843733826418539,0.9921866913209269
38.76000000000086,1.0,0.9987507809245968,0.9993753904622982
39.380000000000734,1.0,0.9912881698401941,0.9956440849200969
40.00000000000061,1.0,0.9912881698402014,0.9956440849201005
40.32000000000055,1.0,0.9987507809246172,0.9993753904623084
40.640000000000484,1.0,0.8820557644269721,0.9410278822134858
40.65000000000048,1.0,0.886255495773719,0.9431277478868593
40.96000000000042,1.0,0.9995001249790814,0.9997500624895405
41.280000000000356,1.0,0.9995001249790871,0.9997500624895433
