run_index	initial_werner_w	iterations	final_observed_tp	final_window_estimate	final_window_used	final_werner_w	final_send_rate	final_mean_tp
1	0.517483656499341	2000	0.9866666666666667	8.920110076035172	9	0.9007172643441771	2.5140095433902467	1.02149995
2	0.12950032651969776	2000	1.0066666666666666	8.940195094888686	9	0.8995440498425937	2.543717351439062	1.01616665
3	0.35067693729684435	2000	0.9733333333333334	8.936127880447314	9	0.8996028862542869	2.5422275123495335	1.01766665
4	0.7636389640413632	2000	0.9966666666666667	8.93066308424323	9	0.8971060978628611	2.6054504866401516	1.0068334
5	0.12429314972071126	2000	1.01	8.934241730118808	9	0.9007358795833785	2.513538173532278	1.01366665
6	0.35360344272300837	2000	0.9866666666666667	8.928823550038533	9	0.8995332904462972	2.5439897978497297	1.0085
7	0.11717325801918671	2000	1.03	8.93879659015333	9	0.8991765783299229	2.5530223618588095	1.01566675
8	0.42003371760940234	2000	0.9666666666666667	8.930417424222519	9	0.9013343144753914	2.498384773299296	1.0143333
9	0.5967281071614003	2000	0.96	8.920446821729334	9	0.8991864222617104	2.552773096583283	1.0196667
10	0.22102284822183238	2000	1.03	8.94666266105996	9	0.8994458486640056	2.5462039740981983	1.0121667
