QTCP Werner window-size and Werner-parameter update.
Update rule: W_next = W + gamma * (target_tp - observed_tp).
Update rule: w_next = w + gamma * ((tp_plus - tp_minus) / (w_plus - w_minus)).
The plus/minus Werner runs use the old W_run from the same iteration.
Werner parameter is clamped to [1.0e-6, 0.999999] so request_rate stays positive.

Initial update parameters:
  target_tp = 2.4
  iterations = 10000
  initial_window_size = 20
  initial_werner_w = 0.75
  min_window_size = 1.0
  werner_bounds = [1.0e-6, 0.999999]
  rng_seed = 42
  gamma(n) = 1 / n
  delta(n) = 0.05 / (n + 50)^0.15

Default simulation parameters:
  werner_w = 0.75
  chi = 30.0
  request_rate = nothing
  distance_km = 25.0
  a_eta = 1.0
  beta_per_km = 0.046
  detector_a_p = 0.9
  detection_prob = nothing
  source_window_size = 20
  source_ack_timeout = 10.0
  sim_time = 200.0
  success_prob = 1.0
  attempt_time = 0.0
  memory_slots = nothing
  initial_request_delay = 0.0

iter |    gamma |    delta |      W_est |  W_run |        w |   target |       tp |  tp_plus | tp_minus |     w_grad |    acked |   sent | timeout |     W_next |   w_next
  28 | 0.035714 | 0.026011 |  22.299165 |     23 | 0.292292 | 2.400000 | 1.755000 | 1.925000 | 1.460000 |   8.938551 |      351 |    799 |     425 |  22.322201 | 0.611526
  29 | 0.034483 | 0.025961 |  22.322201 |     23 | 0.611526 | 2.400000 | 3.900000 | 4.265000 | 3.540000 |  13.963107 |      780 |   1210 |     408 |  22.270476 | 0.999999
  30 | 0.033333 | 0.025912 |  22.270476 |     23 | 0.999999 | 2.400000 | 0.000000 | 0.000000 | 0.580000 | -22.383165 |        0 |      1 |       1 |  22.350476 | 0.253894
  31 | 0.032258 | 0.025864 |  22.350476 |     23 | 0.253894 | 2.400000 | 1.515000 | 1.785000 | 1.390000 |   7.636069 |      303 |    755 |     429 |  22.379025 | 0.500218
  32 | 0.031250 | 0.025817 |  22.379025 |     23 | 0.500218 | 2.400000 | 2.835000 | 3.060000 | 2.585000 |   9.199531 |      567 |   1013 |     425 |  22.365431 | 0.787704
  33 | 0.030303 | 0.025770 |  22.365431 |     23 | 0.787704 | 2.400000 | 4.055000 | 3.740000 | 4.430000 | -13.387849 |      811 |   1073 |     256 |  22.315280 | 0.382011
  34 | 0.029412 | 0.025723 |  22.315280 |     23 | 0.382011 | 2.400000 | 1.935000 | 2.150000 | 1.825000 |   6.317209 |      387 |    835 |     425 |  22.328956 | 0.567812
  35 | 0.028571 | 0.025678 |  22.328956 |     23 | 0.567812 | 2.400000 | 3.505000 | 3.495000 | 3.100000 |   7.691480 |      701 |   1133 |     411 |  22.297385 | 0.787568
  36 | 0.027778 | 0.025633 |  22.297385 |     23 | 0.787568 | 2.400000 | 4.050000 | 3.690000 | 4.355000 | -12.971686 |      810 |   1076 |     256 |  22.251551 | 0.427244
  37 | 0.027027 | 0.025588 |  22.251551 |     23 | 0.427244 | 2.400000 | 2.310000 | 2.645000 | 2.240000 |   7.913761 |      462 |    914 |     429 |  22.253984 | 0.641129
  38 | 0.026316 | 0.025545 |  22.253984 |     23 | 0.641129 | 2.400000 | 4.000000 | 4.085000 | 3.780000 |   5.969971 |      800 |   1220 |     401 |  22.211878 | 0.798233
  39 | 0.025641 | 0.025501 |  22.211878 |     23 | 0.798233 | 2.400000 | 3.910000 | 3.465000 | 4.275000 | -15.881573 |      782 |   1022 |     231 |  22.173160 | 0.391014
  40 | 0.025000 | 0.025459 |  22.173160 |     23 | 0.391014 | 2.400000 | 2.100000 | 2.150000 | 1.875000 |   5.400936 |      420 |    869 |     426 |  22.180660 | 0.526037
  41 | 0.024390 | 0.025416 |  22.180660 |     23 | 0.526037 | 2.400000 | 3.390000 | 3.140000 | 2.800000 |   6.688598 |      678 |   1112 |     412 |  22.156514 | 0.689174
  42 | 0.023810 | 0.025375 |  22.156514 |     23 | 0.689174 | 2.400000 | 4.265000 | 4.435000 | 4.190000 |   4.827633 |      853 |   1262 |     387 |  22.112109 | 0.804117
  43 | 0.023256 | 0.025334 |  22.112109 |     23 | 0.804117 | 2.400000 | 3.795000 | 3.375000 | 4.245000 | -17.170846 |      759 |    993 |     221 |  22.079668 | 0.404795
  44 | 0.022727 | 0.025293 |  22.079668 |     23 | 0.404795 | 2.400000 | 2.080000 | 2.450000 | 1.955000 |   9.785305 |      416 |    869 |     430 |  22.086940 | 0.627189
