run_index	initial_werner_w	iterations	final_observed_tp	final_window_estimate	final_window_used	final_werner_w	final_send_rate	final_mean_tp
1	0.8178679587436591	3000	0.7233333333333334	4.999572193654578	5	0.9489480052048747	1.2927242715085978	0.6042222
2	0.7174366646670421	3000	0.58	4.99954503985577	5	0.9451885406624584	1.3879203766042114	0.602111133333
3	0.9206225140802416	3000	0.5666666666666667	4.999993956542029	5	0.9523148949488427	1.2074688351835818	0.5973334
4	0.0936966329571244	3000	0.56	4.9999480652094865	5	0.9478004682253086	1.3217818805578003	0.597444433333
5	0.29031954500221696	3000	0.6333333333333333	4.999641610695706	5	0.9510074949672347	1.2405744502643843	0.604000033333
6	0.3059344633786681	3000	0.6066666666666667	4.999825860999153	5	0.952978630701688	1.1906619048958536	0.601111166667
7	0.0968078694646196	3000	0.58	4.999724001924403	5	0.9507116293910017	1.248066275276024	0.602777833333
8	0.5367852720393207	3000	0.57	4.9999232285382345	5	0.951053088574621	1.2394199417455605	0.600777766667
9	0.1132464045412435	3000	0.6866666666666666	4.9997308360643915	5	0.9483545209962093	1.3077523119285188	0.6001112
10	0.5269967956026079	3000	0.55	4.999891842292354	5	0.9525403729508427	1.2017593445545396	0.6015556
