run_index	initial_werner_w	iterations	final_observed_tp	final_window_estimate	final_window_used	final_werner_w	final_send_rate	final_mean_tp
1	0.5611772821520152	2000	1.0933333333333333	7.000365499745071	8	0.873016564314858	3.2154388883038956	1.19116655
2	0.3686504554036595	2000	1.0966666666666667	6.999963909336721	7	0.8771160185774016	3.111633659019582	1.19600005
3	0.8344187991474383	2000	1.1733333333333333	7.000193494178964	8	0.8718027379471524	3.246175058618635	1.1981667
4	0.31095235604212934	2000	1.2833333333333334	6.999935883818681	7	0.8723315649685669	3.232784249331836	1.20233325
5	0.16477917946166465	2000	1.24	6.9999797992943735	7	0.8770290637597541	3.1138355044861243	1.1938333
